filename,X1,Y1,X2,Y2,X3,Y3,X4,Y4,type
000350f572264bb89daf8be35ad1f2c0.jpg,1580,1051,1659,1051,1659,1132,1580,1132,3
00047f0d6ae44f79907328060820b115.jpg,1056,946,1081,946,1081,975,1056,975,2
0004886b3f0f4347bc81827df8786d78.jpg,836,387,910,387,910,470,836,470,15
001458e8683f4c8e98ca1c4e962787df.jpg,1265,1112,1298,1112,1298,1145,1265,1145,12
00171d28d19a442e867a845d4d0c9415.jpg,774,757,807,757,807,786,774,786,15
001a39da391a4535b0c6c67892a56716.jpg,931,696,968,696,968,733,931,733,14
001dd7244e304115ae7f572f52205a44.jpg,2538,751,2670,751,2670,866,2538,866,17
001e36bb8f0e4465a54f9c7c2f6381e6.jpg,1637,843,1688,843,1688,895,1637,895,6
00210b2cb23c47b98423d17e162c39f3.jpg,969,723,1018,723,1018,771,969,771,10
00239af45e8a4448935ef3d78d5d339e.jpg,1271,552,1313,552,1313,597,1271,597,1
0026926f621c482393a17ec50229018c.jpg,1394,776,1430,776,1430,812,1394,812,10
0026bfbc03644960862daa69a0dd2f98.jpg,1761,870,1831,870,1831,944,1761,944,12
002727b778c8487f81fde7ba5ad335b3.jpg,1060,1159,1119,1159,1119,1214,1060,1214,18
002b937bb6d34282b7c108986bcad889.jpg,1440,801,1483,801,1483,847,1440,847,16
002becd1c01d4916a065fbfd1e2b77fb.jpg,1353,612,1396,612,1396,658,1353,658,17
002d44d040504e99bdbe5e9748b44a54.jpg,1023,374,1092,374,1092,445,1023,445,19
002da67e260d44ba96ceeeb36caf2788.jpg,2291,1227,2356,1227,2356,1294,2291,1294,11
003134ba90764ebd8831031f4ffb2713.jpg,542,1140,591,1140,591,1183,542,1183,15
003354dc66904f57a1e923afeb60db3b.jpg,1974,843,2051,843,2051,928,1974,928,2
003398d974a745ae9307d85a51e38ac5.jpg,1568,923,1600,923,1600,955,1568,955,4
003417f1913b4226bd6701e6b2eeb820.jpg,718,1033,772,1033,772,1098,718,1098,2
003463cd82e84dcead1096befcb4c154.jpg,726,508,763,508,763,542,726,542,9
0034cfabcaaa4e339aa6a0552489ee5b.jpg,2058,906,2136,906,2136,992,2058,992,5
00378889fe05442fa3f2ef62cd99d9ef.jpg,765,455,852,455,852,533,765,533,20
00378a4389e942ae957183277d586460.jpg,1106,905,1132,905,1132,936,1106,936,8
003890c37f414e638b2a942b4b7ec134.jpg,990,595,1027,595,1027,630,990,630,10
004002c1629345f995097f29d3a76973.jpg,1813,938,1877,938,1877,1002,1813,1002,5
0044a1ce0a064a5cbea4ba40efc79280.jpg,670,911,697,911,697,936,670,936,7
0046a1a695094940b65e096ae58ea92f.jpg,682,686,723,686,723,728,682,728,19
004adfcbce6f443abeecbe6d2f9c176c.jpg,1300,560,1331,560,1331,592,1300,592,4
004fc108e24c4489a4133e4b51f5097d.jpg,898,972,960,972,960,1030,898,1030,13
005024d9d41346b9a7494ae95e3fb8d4.jpg,969,1255,998,1255,998,1283,969,1283,1
0050d978ebc9405290841f0b51224dfd.jpg,1377,887,1406,887,1406,916,1377,916,3
00538d498c1b44c8adbcc4bd5584ba01.jpg,1650,1028,1685,1028,1685,1062,1650,1062,9
005b2e6252954e178528773d2b2e9e6c.jpg,663,856,706,856,706,894,663,894,10
005b57dd290e42c5b22aac4da4517d68.jpg,1691,360,1766,360,1766,438,1691,438,10
005d2d4ff3744677bafdb26d3d6ceb4c.jpg,618,483,710,483,710,568,618,568,13
00609fae5f7342e582e75254efb10b9d.jpg,1080,921,1115,921,1115,955,1080,955,20
006118ad63244a9babd1498006c0e5f5.jpg,1195,1040,1254,1040,1254,1099,1195,1099,20
0062d235967249e1ab5cad806d9ae6ed.jpg,2047,589,2155,589,2155,690,2047,690,17
006c83266ba84fbf92fbc4977df7e326.jpg,911,1122,951,1122,951,1162,911,1162,5
006e86f9375a4233b83987723ef07de7.jpg,1744,1043,1813,1043,1813,1113,1744,1113,3
006f85f225ff479387309258a54e152d.jpg,1653,1050,1696,1050,1696,1093,1653,1093,3
007101e009934ab6b20d7158d2fd10f7.jpg,2296,602,2423,602,2423,716,2296,716,12
007123c22e43449786a89e5c99d86352.jpg,1096,510,1145,510,1145,572,1096,572,2
0075dfc785f24730ad3fa765d8d638df.jpg,1992,505,2057,505,2057,570,1992,570,6
00780a4e131b4c8a808f1fc31fbcf424.jpg,1697,499,1805,499,1805,617,1697,617,13
007d3123c2af41ef89283b57f3c280b5.jpg,1132,611,1169,611,1169,647,1132,647,14
007e56ed8fbd4eec80f0fc63f8d90371.jpg,909,1017,948,1017,948,1063,909,1063,19
00808c4d40b04a678a4546d6f7234bf3.jpg,1153,1108,1182,1108,1182,1138,1153,1138,17
0082845e1f104884bf6cad5001a2459f.jpg,612,1155,683,1155,683,1234,612,1234,3
0088483fc16943738497d1a81c427eab.jpg,914,780,953,780,953,826,914,826,11
008dfea73eff4e2c93c065a3cda627d9.jpg,2042,928,2126,928,2126,1009,2042,1009,9
00963a31d9c644cd8bfadaa1d6bec6ed.jpg,2070,316,2147,316,2147,405,2070,405,3
0099810fa13a4188bb9cb202a1c4a728.jpg,654,967,736,967,736,1055,654,1055,19
